بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
پنج عدد از گرانترین اپلیکیشن های اندروید	Amirsalar	amirsalar	Iran			http://t.co/ifRqJW6L
برنامه ی animated weather widget clock v	Amirsalar	amirsalar	Iran			http://t.co/dL1iJUq
ویرایش تصاویر با befunky photo editor	Amirsalar	amirsalar	Iran			http://t.co/mXl1nnd
آهنگ عاشقانه دارم می رم خداحافظ از مازیار فلاحی	Salar Mahdavi	SalarMavi	Iran , Ahwaz			http://fb.me/GTyO4YYv
اجرای زیبای th band از آهنگ دوست دارم در کنسرت	Salar Mahdavi	SalarMavi	Iran , Ahwaz			http://fb.me/zS0OjAtC
بررسی نقش استعماری روسیه در تاریخ ساله ایران یک ضرورت است آیا کسی هست یک بررسی تاریخی انجام دهد و چنایات روسها را یا آمریکا مقایسه کند؟	Ahmad	SabzBashIran	not-given			
پياده روي در خارج از شهر از افسردگي مي كاهد	salamatnews.com	salamatnews	Iran			http://tinyurl.com/2dku5m
گشایش سفارتخانه مجازی آمریکا و فیلتر نمودن آن توسط ایران	 NewsOnIran	NewsOnIran	not-given			http://t.co/jquxNyEs
ایران و بریتانیا؛ شش دهه فراز و فرود بی پایان	 NewsOnIran	NewsOnIran	not-given			http://t.co/9CyHF6JV
اشتباهاتی که آنها دچارش شدند همچنان ادامه دارد	 NewsOnIran	NewsOnIran	not-given			http://t.co/50AH3mcs
به چه دليل وقتي بيش از نفر در روز آبان دستگير ميشن موسوي سكوت ميكنه؟؟ كجا بود؟؟	Iran Report	IranReport88	London	#iranelection		
امروز ازحدود ساعت تا درپارك شقايق دانشجويان دانشگاههاي قزوين و نيز ساير مردم تجمع داشتند	Iran Report	IranReport88	London	#iranelection		
عكسهاي آبان عكس دوم	Iran Report	IranReport88	London			http://twitpic.com/o8d75
خدا رو شكر گلوم داره خوب ميشه صدام باز شده چه حالي ميده سلامتي واقعن نعمت خوبيه	Ali Taheri	alitaheri	Iran, Gorgan			
يه كاسه ماست بريز تو دريا تا بشه دوغ	Ali Taheri	alitaheri	Iran, Gorgan			
لال از دنیا نری بلند فالو کن	داش متی	dash_meti	not-given			
حتما قبل از اینکه فیلم تردید رو ببینید چند بار نمایشنامه هملت رو بخونید تا مثل اکثریت مثل خر تو گل نمونید	داش متی	dash_meti	not-given			http://ff.im/beACE
حرف حق همیشه تلخه	gholam reza faryabi	faryabireza	not-given		@mahboobdelha	
صحنه وحشتناک زدن يک جوان در خيابان در ۲۲ بهمن vicious attack on a young protestor february	Sam	IRANIAT1	not-given			http://bit.ly/dwJ8rE
خیابان بهارستان خامنه ای حیا کن مملکت رو رها کن مرگ بر تو khamenei you destroyed the country and killed its youth	Sam	IRANIAT1	not-given			http://bit.ly/5mZ15f
الان مثلا فکرکردی خیلی مهم شدی، بهتره بدونی زیر مایی	Azarshad	azar_mohamad	not-given			
این کار جدید آرش ام جالبه، ویدیو پرکنم بفرستم یه حالیم یه آرش بدم، والا	Azarshad	azar_mohamad	not-given			
بیکار باشی ولی پول داشته باشی، دیگه بیکار نیستی	Azarshad	azar_mohamad	not-given			
زن میخوام ،اما نه کار دارم، نه بابای پولدار، بشاشن تو این مملکت با این اوضاع قمر در عقربش	Azarshad	azar_mohamad	not-given			
آهنگای ترکی هم خداییش خیلی قشنگه، ما ره میگیره، شما رو چطور ؟	Azarshad	azar_mohamad	not-given			
یکمی اگه شجاعتر میبودم، چه کارا که نمیتونستم بکنم؛ احتمالا تا حالا بچه ام باید ، ساله میبود، زن دومم گرفته بودم	Azarshad	azar_mohamad	not-given			
خدایا ازت ممنونم که درهای بسیاری رو بر من می گشایی	Rosha Rudgar	vivirroje	not-given			
دستپاچگی کودتاگران در اعتراف به قتل شهید محمدجواد پرنداخ	Autumn Man	GREENWAYTOHOPE	Beautiful Iran			http://donbaleh.com/link/148832
مظهر عدالت علی ولی ورق پاره‌های پوسیده اسلام افراطی بر نیزه فریب و تکرار تاریخ ا ب	Autumn Man	GREENWAYTOHOPE	Beautiful Iran			http://donbaleh.com/link/142807
قرآن تحریف نشده تفسیرش چطور؟ نبرد افکار روشن با ذهنیات حل شده در تابوی ساختگی دینی	Autumn Man	GREENWAYTOHOPE	Beautiful Iran			http://donbaleh.com/link/135964
اين جلال آل احمد يعني دقيقا مخش پاركه تاب داره سرسره داره همه چي داره الا قدرت تجزيه و تحليل	mehrzad mirzaei	mehrzadmirzaei	not-given			
کدوم؟	farhad	farhadst	iran - tehran		@Naznoush	
نازی تو چی؟	farhad	farhadst	iran - tehran		@farhadst	
دزدی آقازاده ها را پنهان و دزدی بی پناه ترین و فقیر ترین اقشار را که نه پول دارند و نه پارتی به سخترین و وحشیانه ترین وضعی پاسخ میگویند	Bora	BoraAzadi	Tehran			
میخواهند نشان دهند که کنترل اوضاع را در کف دارد، نه انقلاب مخملی چاره کار است و نه امکان تغییر رژیم از طریق تعرض نظامی	Bora	BoraAzadi	Tehran			
میدانند که دست نشانده همین ها هستند و همینها دارند کم کم گور رژیم را میکنند	Bora	BoraAzadi	Tehran			
گفتگوی روزانه یکشنبه ۱۷ آبان فایل صوتی فایل تصویری	وبلاگ آرشیو موج سبز 	saalaari54	Iran, Tehran			http://bit.ly/1fLWdh
گفتم ای عشق من از چیز دگر می ترسم گفت آن چیز دگر نیست دگر هیچ مگو	Roozbeh	gdayplus	not-given			
نمیشه یه جوری بشه که مامانش معلوم نباشه کیه	babak	dukshi	not-given			
یعنی الان یه‌چیز سنتی می‌خوام از آمازون بگیرم ولی نمی‌شه چون کارت فیلان ندارم تُف	Masoud	absurdlyhard	Iran			
خوشحالم كه دارم اينجا زندگي ميكنم، بسكه تو ايران به زندگي دادم ، خسته شدم پيام از خليج مكزيك ؛	shibaba	shibabaa	west palm beach fl			
خوشی میزنه زیر دلم	shibaba	shibabaa	west palm beach fl			
خطرناك هميشه از حشيش ارم و الموت بر نميخيزند بسياري معتقدند كه شستشوي مغزي افراد فرآيندي است كه در مكان خاصي شكل ميگيرد و مدت زمان خاصي	Democracy	Democracy1388	Tehran			
مامورین امنیتی به خانه سهراب اعرابی حمله کردند	azadeh	1pezashk	not-given			
بذرپاش که با شکایت فاطمه کروبی به دادگاه احضار شده بود در دادگاه حاضر نشد به این میگن فامیل سالاری	azadeh	1pezashk	not-given			
فوری میرحسین موسوی در میان مردم و در ابتدای خیابان جیحون در حال سخنرانی است	elyas	amirloplop	not-given			
من اینجا فقط درددل و غرغر و تنهایی هامو می نویسم	Shirin M	shirinfbh	not-given		@sayei_dar	
بهروز بقايي سكته كرد ويروس مرگ افتاده به جون هنرمنداي داخل كشور	Shirin M	shirinfbh	not-given		@nima	
اين شماره موايل خدا چنده كارش دارم فوري	Shirin M	shirinfbh	not-given			
غمه غم انگار رو همه چی گرد مرده پاشیدن	Shirin M	shirinfbh	not-given			
شورای اتحادیه اروپا که سوئد ریاست آن را بر عهده دارد، میخواهد روز چهارشنبه در مراسم تحلیف محمود احمدینژاد شرکت کند	Shaba	Shabanet	not-given			
او سا مه بن لادن،بقول تويت bbc ،همه دنيا بدنبالش بودن، بجز مردم ايران كه بدنبال آزادي اند و نميدانندكه آزادي،پشت سرشان است،اگر زودتر بنگرند	messiah agah	ensaneazadikhah	not-given			
no laughing today s fellini moment at shiraz medical school خنده با صدای بلند ممنوع	Khaleh Simorgh	khalehsimorgh	not-given	#iranelection		http://www.tahavolesabz.com/item/2498
وحدت ملّی و نسبت آن با تهدید نظامی ایران	کرگدن تنها	KargadaneTanha	ایران			http://bit.ly/cZTdmI
سهراب ان‌قدر از دوران خودش جلو‌تر بود که سی سال بعد از مرگش درک می‌شه و یه نقاشی گم‌نامش میلیون قیمت‌گذاری میشه	کرگدن تنها	KargadaneTanha	ایران			http://bit.ly/dwvJOS
مردم اطراف بیت نشستن و ناهار می خورن ولی بسیجی ها هی شعار می دن و مزاحم می شن	کرگدن تنها	KargadaneTanha	ایران	#iranelection,#montazeri,#iran	@manic77	
فیسبوک	Sakhteman	Sakhteman	not-given			http://fb.me/xFwiK9Go
همچی رو می خوایم ماست مالی کنیم مهندسیمون هم شبیه کارهای دیگه مونه	Sakhteman	Sakhteman	not-given			
ميزان خشم ملت است	mthr mir	mthr21	Iran, Isfahan			
وال استريت ژورنال خانواده ايراني ميخواهند بدانند چرا پسرشان كشته شده	farid	niknea	tehran-iran			http://bit.ly/16YgFx
ميخوام پستون سيليکونى بزارم سايز ۷۵ رونوشت به آقاى شتر	YoozPalangidanzh	YoozPalangidan	A Far Shoomboolic  Jungle	#SiliconMame,#Boobies,##MrCamell		
لپ تاپ بدون درایو ایا کسی داره؟راضیه؟دنبال اینچ میگردمريا، یه ایسوس گیر اوردم ولی بدون درایوه مثه کاغذ سبکه	YoozPalangidanzh	YoozPalangidan	A Far Shoomboolic  Jungle			
وي پي انم دزديده شده،کسي سرور خوب ارزون دانشجويي سراغ نداره؟هلپ کنيد دوستا	soudiz	greenfall_1983	esfahan			
عبدی یمینی آهنگساز ایرانی‌ هم جز مسافرین تپو لوف بوده است	MarMar	MaNDaNa_77	not-given			
امروزه همه مردم عکس و فیلمهای جنایات رژیم را برای هم بلوتوث میکنند شما چطور ؟	MarMar	MaNDaNa_77	not-given			
طویل‌ترین زنجیر انسانی در طولانی ترین خیابان دنیا برای ایران	MarMar	MaNDaNa_77	not-given			
و اين دليلشان بوده براي رأي دادن به ا ن	Mojgan Gh-Shirvan	mshirvan	not-given			
مي گويند طرفداران موسوی از عباس آباد تا خود تجریش هستند و انقدر زیادند گارد ویژه جرات درگیری ندارند	Mojgan Gh-Shirvan	mshirvan	not-given			
توی راه خونه خیس بارون شدم، انگار پاک پاک، شاید امروز کسی مرا بخشید باشد	Ahmadreza Sadeghi	nazoknarnji	not-given			http://ff.im/Cp9AK
قمار سیاسی	Ahmadreza Sadeghi	nazoknarnji	not-given			http://ff.im/ClkbH
درخواست مردم از بازاری ها برای اعتصاب ، نگذارید خون عزیزانمان که در این چند روز پایمال شود plz share	kaveh	kaveh_asaadi	Cyprus			
وقتی اسم ميرحسين رو می شنوی؟	Saeid Ghasemi	saeidghasemi	Iran			http://t.co/UdWux29
هرکه طالب بزرگی است شبها را بیدار میماند، بیدارم و طالب بزرگی	Amir.EA	APC_AMIRR	Ahvaz			
شب آبنباتی	Amir.EA	APC_AMIRR	Ahvaz			
پیش پیش شب آبنباتی ، ما رفتیم	Amir.EA	APC_AMIRR	Ahvaz			
آخرین نوای سه شنبه جالب و باحال از کارمندان اروین خاچیکیان karmandan pelastiki mpپی نوشت با هدف	Nariman	NrmNDPk	Stockholm			http://bit.ly/hAL3JB
من اگر روزی پدر شوم خوش تیپ پسر بابایی خواهرتو نیگا نکن صبح تا شب دانشگاهه، به دخترها کلن تو این زمینه امیدی	Nariman	NrmNDPk	Stockholm			http://bit.ly/htsT2J
معرفی دو قابلیت جدید گوگل پلاس تغییرات گوگل پلاس یکی پس از دیگری از راه میرسند و هر کدام در جای خود به کار می	Amir Fadaeyan	akmfad1	Iran			http://t.co/iiy7Mhq7
پیشگیری و بهبود مشکلات مضمن کار با رایانه با workrave	Amir Fadaeyan	akmfad1	Iran			http://t.co/VZsx9eNv
اصلاح صفحه کلید فارسی	Amir Fadaeyan	akmfad1	Iran			http://tinyurl.com/4myllgf
خطای certificates در فایر فاکس	Amir Fadaeyan	akmfad1	Iran			http://tinyurl.com/49sdwtt
وكالت در كشور ساماندهي مي شود	Ehsan Mohammadi	shahroodads	Iran			http://ff.im/DCDbq
فعالیت گوگل را در دنیا ببینید	Ehsan Mohammadi	shahroodads	Iran			http://ff.im/CSpP7
وی پی ان مشکوک میزنه ظاهرا شنود میشه ؟؟؟؟؟؟؟؟؟؟؟؟؟	Ehsan Mohammadi	shahroodads	Iran			http://ff.im/xSx9N
وای ضاهرا استاد بزرگ حقوق دکتر نوربها درگذشتند وای خدا رحمتشان کند	Ehsan Mohammadi	shahroodads	Iran			http://ff.im/xRR6Z
من	Ehsan Mohammadi	shahroodads	Iran	#ایران_ذهن		http://ff.im/tLxSB
جنايت به خاطر هديه نامزدي	Ehsan Mohammadi	shahroodads	Iran			http://goo.gl/HAyc
كسى از خبر نداره؟	Sali	geminitype	Iran		@Negindb	
چند ساعت این توعیتر لامصبو چک نکردم هرکدومتون ۱۰۰ تا توعیت زدید راضیم ازتون	Sali	geminitype	Iran			
من حظ شوما رو برم	Sali	geminitype	Iran		@khorramdel	
آله	Sali	geminitype	Iran		@Negindb	
آذربایجانی انتشار اسامی و تصویر ایرانی‌های ربوده شده در سوریه	مازیار آذربایجانی 	azerbayjani	not-given			http://t.co/Ru2NlJyS
فوری در پی درگیری های شدید امروز تهران؛ میر حسین موسوی صدور بیانیه خود را به تعویق انداخت ۴ دقیقه قبل	Ali	Ali_viva	not-given	#		
سخنان تاج‌زاده درباره جنتي و انتخابات غير آزاد در ديدار با همسرش election	Antidictator	ppersian	not-given	#iran,#iranelection,#poltics		http://bit.ly/3auEQl
پیشنهاد یک سرهنگ بازنشسته برای راهپیمایی امروز	mina	mina1355	not-given			http://bit.ly/iGMDw
تجاوز توي زندان، اين‌هم بود توي قران؟	golemaryam	gole_maryam	not-given	#iranelection,#tehran		http://hamsedyeiran.blogfa.com
بعد از راهپیمایی میلیونی روز قدس و در صورت دستگیری بخشی از سران جنبش چه خواهیم کرد؟ باید از هم اکنون آماده باشیم	Mehrad M	cilrvo	not-given			
نيروهاي امنيتي همه جا به چشم ميخورند	Mehrad M	cilrvo	not-given			
فیلم کوتاهی‌ از زندگی‌ شهبانو فرح پهلوی ملکهٔ ایران a short documentary about the life of shahbanou farah pahlavi	شهبانو فرح پهلوی	ShahbanouFarah	not-given			http://t.co/o1w1jzft
فقط در حد توییت توییت توییت جیک جیک جیک	FAtFaG	FatimaFaghih	iran			
هر چی شد شد میخواد چی بشه مثلا	FAtFaG	FatimaFaghih	iran			
وای حالم خوب نیست اصلا	FAtFaG	FatimaFaghih	iran			
گودر هيچ جوره باز نميشه	Ali	alirahimian	Mashhad			
از ظهره نتونستم جيميل رو باز كنم	Ali	alirahimian	Mashhad			
جورج پیتون اول کسی برنامه نمی ریزد تا شرایط را بعد از آن مهیا کند باید با توجه به شرایط برنامه ریزی کرد به ن	سخن روز	sokhanerooz	not-given			http://bit.ly/8GKgIS
لعنتی چه روزیه ها	Alireza-Safari	MrOceanic6	karaj			
ییهو استرس گرفتم	elham 	elhaaaaaam	not-given			
اوهم	elham 	elhaaaaaam	not-given		@khajeh_joftaki	
امیدی به نوشیدن جام زهر نیست	Rangin Kaman	ranginkamanorg	Paris	#iranelection,#iran,#tehran		http://t.co/tTi1PIj5
بحران جهانی سرمایه و جنبش کارگری	Rangin Kaman	ranginkamanorg	Paris	#iranelection,#iran,#tehran		http://t.co/YX8uaWsv
آزادی و پیشرفت ایران در گرو نقداسلام است	Rangin Kaman	ranginkamanorg	Paris	#iranelection,#iran,#tehran		http://t.co/ZxFaWpwk
سرفه پشت سرفه	danyal yazdi	danyaly	not-given			
فالوئرهای بر باد رفته	Ali 	AliStar66	Ahwaz			
افزايش اعتصاب كاميونداران ورانندگان حمل ونقل بخش خصوصي election	dalir.iran	dalir2000	not-given	#iranuprising,#news,#iran,#iranelection,#SoG,#TABRIZ,#tehran,#Mousavi,#NO2IR,#artesh		
اقا تنها دلیلی که فلوت کردم اینه که سنگنوردی افرین البته دلایل دیگری هم داره که در دل نگارنده میمونه	sangrizeh	sangrizeh	not-given		@mahziar	
پاي چپم بد جور پيچ خورده	faraz masumian	faraz66	Tehran			
لطف کنید این مقالات را برای ولایت مداران بگذارید گوش ما از این مطالبی که بوی نفت و خون میدهد پر است	محارب	mahmody57	not-given		@khodnevis_org	
حمله به کمپ اشرف را قویاً محکوم می کنیم petition via	محارب	mahmody57	not-given		@GoPetition	http://t.co/AqRDIYm
این فابنال دیستینیشن رو تا هوار میتونن ادامه بدن ملال آور نمیشه دیدنش پنجش رو هم دیدم قشنگ بود ‏	bargritz	bargritz	iran			
تنها دلیلی هم که الان بیدارم اینه که اصن راه نداره آدم ۸ ۹ شب بخوابه	Navid Ht	NavidHt	Tehran			
کِی فآرغ‎التحصیلیمونو میدن بریم ؟ که دیگه دی و بهمنُ خردآدُ تیر امتحآن ندآشته بآشیم ؟ کِی میشه ؟ میشه ؟ میشه ؟ میشه ؟	آنا ~ تیله	anNaaawti	طهران			
نآگهآن سرعت خوب شُد	آنا ~ تیله	anNaaawti	طهران			
محمد علی حاج آقایی ۶۲ ساله و محکوم به اعدام است حکم او توسط قاضی مقیسه داده شده و در دادگاه تجدید نظر توسط قاضی زرگر تایید شده است	برای زندگی-ضد اعدام	barayezendegi	not-given			
گزارش تصویری بی بی سی فارسی از برنامه اعتراض به اعدام بیرون کنسرت شجریان روز یکشنبه ۳۰ می	برای زندگی-ضد اعدام	barayezendegi	not-given			http://bit.ly/bXtdAY
چند خانواده دیگر باید عزادار شوند؟	برای زندگی-ضد اعدام	barayezendegi	not-given			http://www.dw-world.de/dw/article/0,,5586439,00.html
فردا اولین پستم رو با آی پدم می زنم	farhad faramarzi	farhadpublic	tehran			
سريال كوچه اقاقيا سري كامل ارجينال ۲dvd بازي زيباي زنده ياد منوچهر نوروزي ارسال سريع گارانتي هديه ارزشمند وجالب	hassan firoozeh	kharidekala	not-given			http://t.co/JMHY8c1n
سریال خوش رکاب اورجینال کاملترین پکیج با بهترین کیفیت	hassan firoozeh	kharidekala	not-given			http://t.co/QhDWWzbv
میوه و سبزیجات شامل تصاویر میوه و سبزیجات،افتادن میوه و سبزیجات درآب، نقاشی میوه و	hassan firoozeh	kharidekala	not-given			http://t.co/9iX5RL1G
چرند پرند چرند پرند	hassan firoozeh	kharidekala	not-given			http://t.co/yoBHvKxy
حکم اعدام حبیب لطیفی در اجرای احکام	Stop Execution 	stopexecution	not-given			http://dlvr.it/Rvk1P
همسر جعفر کاظمی با اعدام همسرم، من و فرزندانم هم اعدام می شویم	Stop Execution 	stopexecution	not-given			
میبینم که پرسپولیس بازم رید؟	Saeed D	Saeed_DN	Shiraz			
البته هیچ وقت نماز نمیخوندم مگر تو ماه رمضون	Saeed D	Saeed_DN	Shiraz			
يا فاط منو ببخش امشب باعث ناراحتيت شدم کسليسيا ولى کاملا واقعى	Saeed D	Saeed_DN	Shiraz			
کيرم تو مزيدى که وقتى گفتم مايکل خواننده مورد علاقه منه گف تينيجر هسى واقعى	Saeed D	Saeed_DN	Shiraz			
i favorited a video پیرمرد مشتی iranischer opa iranian oldman very fun	404 Not found	nimejun	not-given		@YouTube	http://youtu.be/_24hDfTabhg?a
واج برسفره کرکس پشنگ از جام دیگر میخواهی؟ تو ای کشخان،مرد بی غیرت، ناله ی کفتار بر مردار ‏ کز این برتر نیاسایی محمد ‏‎ ‎	Mohamad 	Mohamad1353	iran			
نه بهاری به جویبار پگاه دست و روی سپیده را می شست نه گلوی زلال بدبده ای باغ را در بلوغ گل می جست	Mohamad 	Mohamad1353	iran			
دیگه نمیتونم ادامه بدم سرم درد میکنه از دوستان بدلیل استفاده از الفاظ غیر معمول پوزش میخوام	Mohamad 	Mohamad1353	iran			
فردا سیزده رو تو بیمارستان به در میکنم اه به این زندگی	parisa_xir	parisa_xir	not-given			
حالا خوابم میاد	parisa_xir	parisa_xir	not-given			
این فیلما چیه پی ام سی میذاره؟	parisa_xir	parisa_xir	not-given			
شهید خط مقدم همیشه یاهو مسنجر مظلومه	parisa_xir	parisa_xir	not-given			
دانشجويان دختر دانشگاه تهران در اعتراض به وضعيت بدحجابي در كشور طوماري را به امضا رساندند	fatemeh	fatemehbahrami	not-given			
دردناکه این خیانت	Nazdoone	nazdoone	Venus			http://t.co/yDStOs4T
حسین پناهی می گه گر من و تو، اندیشه‌مان عشق نباشد، چه بر سر دنیا خواهد آمد؟ هیچی والا تازه می شه حکایت این روزهای ما	Nazdoone	nazdoone	Venus			
من ايده‌آليست هستم نمی‌دانم كجا دارم می‌روم اما دارم می‌روم كارل سندبرگ carl sandburg این کاملا داستانِ بودنِ منه انگار ـ شاعر امريكايی	Nazdoone	nazdoone	Venus			
تمام ناتمام من با تو تمام می شود ـ	Nazdoone	nazdoone	Venus			
حرف نمیزنی اما دلت پر از واژه س پارادوکسی	Nazanin	Naziii_	Tehran			
گمان می بردم که زیستن می آموزم، مردن می آموختم ـ لئوناردو داوینچی	mahdi mousavi	mravani	IRAN			
چه قدر نوستالوژیک لباس شخصی هاشون هم ریختن توی میدان تحریر	mahdi mousavi	mravani	IRAN			
برنج خام می خورم	erika_67	erika_67	not-given			
ماموران امنیتی تهدید کرده اند، احمدی نژاد را به زودی دستگیر خواهند کرد	ali alipoor	WEallGREEN	not-given			http://t.co/OSEfjHWj
مراد علی به احمدی نژاد از اول این ریختی بودی یا داری ادا درمیاری	ali alipoor	WEallGREEN	not-given			
فریب حکومت با عفو تعدادی از زندانیان سیاسی	ali alipoor	WEallGREEN	not-given			
مبارک و پسرش ازعضویت درحزب حاکم استعفا کردند	ali alipoor	WEallGREEN	not-given			
شباهت های مصر و ایران طرفداران حکومت مبارک در خیابانها	ali alipoor	WEallGREEN	not-given			
البته خودمونیم بابا ، زش نیست ؛ توییت کنید	ehsan !!!!!!	ehsan1991	Tehran			
روز بپر مشغله ای رو گذروندم و پر تفریح البته	ehsan !!!!!!	ehsan1991	Tehran			
زوج و فردش کردن	Sina	__SiN_SiN__	شول آباد		@pirate37b	
باران كه ميبارد تو مي آيي به شخمي شدن اينترنت	azin	santa_claus76	حقیقت وطن ندارد	#خطاب		
اين تهران كه تو خونه هاش وقتي يه سوراخ سنبه باز بشه سوسكا ميريزن تو يني من دوست دارم فرار كنم ‎ ‎	azin	santa_claus76	حقیقت وطن ندارد			
انقدر مستم كه از چشمم شراب آيد برون	Farhad Spread	Farhad9999	not-given			
هر مدل كار شيشه دارين،ساختموني دوجداره سكوريت تزيناتي ،درصد ميزاريم،هماكنون نيازمند لطف تويتيها هستيم	Farhad Spread	Farhad9999	not-given			
خوب یه خلاقیت هایی روشون انجام میدن قبل گذاشتن که به شدت نخمیشون میکنن ولی خیلی هم کسکشی نیست کارشون	sajjadkh	sajjadkh1	not-given		@ammarhzr	
دختره زنگ زده رو گوشیم لهجه ی شیرینش تو مایه های مصریه میگه نزدیکی های تهرون هستم اگه پایه دوستی هستی یه شارژ بفرست واسم ⁰شانسه داریم؟	sajjadkh	sajjadkh1	not-given			
خوب الان فحش ناموسی خوردن نماینده دولت بدتره یا از چک خوردن نماینده مجلس ؟	sajjadkh	sajjadkh1	not-given			
قانون پایستگی واحد واحد ها نه از بین میروند و نه پاس میشوند بلکه از ترمی به ترم دیگر انتقال میابند	javadmirzaei	javad_mirzaei	not-given			
خوش به حالِ اونايي كه با پي سي به توييتر وصل ميشن و از مزاياي اولترا سرف بهره مند ميشن	آزاده	Azijoooon	يه وجب زيرِِ ناف تهرون			
باور كن جاكش بابا	behzad 	x_boy180	not-given			
يا تابستوني يا زمستوني	behzad 	x_boy180	not-given			
خواب اماده گايشش چشمان اين جانب ميباشد	behzad 	x_boy180	not-given			
عفت كلام خوبه ولي نباشه خوبتر جاكش	behzad 	x_boy180	not-given			
بعد وقتی کاراکتر کارتونی من اینه دیگه خودم چی هستم	Mortaza Alirezaei	m_alirezaei	IRAN			http://www.batmen.com/en/c/?n=ir&v%5B%5D=morteza&v%5B%5D=alirezaei&Submit=Find+Out%21
آخیش همه فصلهای دوستان را دیدم خیالم راحت شد	Mortaza Alirezaei	m_alirezaei	IRAN			
قبض موبایل من برای اولین بار چهار رقمی شده	Mortaza Alirezaei	m_alirezaei	IRAN			
دنى چه محو شده	Pouya	PouyaAdn	Tehran			
برب اعدام	SHGRDUA	SHGRDUA	shro0og @_@ ..... 0_0 			
ذاكري عدل ابي درجات كاملة ☺	SHGRDUA	SHGRDUA	shro0og @_@ ..... 0_0 			
» رضا ایرانی این جمعه باید یک تو دهنی به خامنی بزنیم می خواد انقلاب مصر را خراب کنه	رضا ایرانی	rezava	تهران	#iranelection,#egypt		
این ماه ماهه بهمنه، سید علی وقت رفتنه	okhtay mazdak	okhtay_mazdak	not-given			
تا آخر عمر آقاي منتظري مخاف اين اصل شد	okhtay mazdak	okhtay_mazdak	not-given			
تست	okhtay mazdak	okhtay_mazdak	not-given			
چرا بسته‌های جی‌پی‌آراس ایرانسل حذف شدن؟ الان هیچ بسته جی‌پی‌آراسی وجود نداره همه‌ی کدهای قبلی هم غیرفعال شدن	Hamed Safa	shahvar	Shahrood			
بیداری قهرمان درون » جوینده و سازگاری	Amir	AmirGhalam	not-given			http://t.co/T6x3gxB3
بیداری قهرمان درون » اعتیاد ها ، انواع و چرایی آنها بخش اول	Amir	AmirGhalam	not-given			http://t.co/x8c9bvEh
بیداری قهرمان درون » تسخیر و فرافکنی	Amir	AmirGhalam	not-given			http://t.co/ZUkJk5P
ندیده فتحلیشاه	Hamidmafi99	Hamidmafi99	tehran			http://t.co/l23Ve3Dx
i uploaded a youtube video دمتو بذار رو كولت رسيديم به ته خط خشمگاه چهارشنبه سوري	Maryam Amiri	aftab2009	not-given			http://youtu.be/cG6RjZjK-mY?a
به خدا ما شیرازیا فقط اسممون بد در رفته ما گشاد نیستیم	saeed	saeedrdn	not-given			
نمیدونم بضی از این عن ها نمیفهمن فالوبک نکردن از عانفالو کردن زشت تره؟ بابا حیا کنین به خدا	saeed	saeedrdn	not-given			
روزهای هفته را هم که گم کرده باشی، عصرهای جمعه را از غم و غربتش تشخیص خواهی داد	ملودی	Twittopalamous	Iran			
نه اومدنت عین آدم بود نه رفتنت	ملودی	Twittopalamous	Iran			
فایده نداره از امشب باید فقط شبا بیام تویتر اینطوری نمی‌شه الان هیچ کس نیست حالم گرفته	 (αиαTємα) ✔	MaMaLOoOo	LaLa LaND			
كاش مى دانستيد، در جه حال است دلم	mohamad ahmadzade	mohamada87	not-given			
با هر تظاهرات هر چند کوچک ما نیروهای سرکوبگر فرسوده تر میشوند نگذاریم گرد نا امیدی بر ما نشیند که در آنصورت جنبش ما شکست خواهد خورد	masoud	ashkan52	not-given			
ای وای هارد اکسترنالم قلبش شکست ، یه خورده تند باهاش رفتار کردم افتاد شکست	آندرومدا	AndromedovA	Iran 			
آتلیه هنر گرافیک خانه	Reza	RezaJalalii	Kerman Iran			http://t.co/puCXJ31e,http://t.co/PUJHREse
اما هرچی فکر کردم دیدم نمی تونم اینارو به انگلیسی بگم با یک لبخند احمقانه بهش جواب دادم cause i m a stupid woman	Tara Niazi	taraniazi1976	Washington DC			
هِه نامحسوس	Mohammad_M	M0HAMMAD86	Tehran / Limbo			
توى تابلو مردمى رو ميبينين كه نذاشتن اونور ارونديا به اينور ارونديا تجاوز كنند البته تجاوز از لحاظ زمين و خاک و آب	siavash	belived_god	iran			http://t.co/sC2EDNiG
آقا عكسايى كه از پادگانى كه توش بوديمو الآن ميزارم برين فيض ببرين	siavash	belived_god	iran			
بهروز جاوید تهرانی پس از هفت سال آزاد شد	CIS	cispress	Washington DC			http://t.co/AIyGouAo
عكسهاى خامنه﻿اى و خمينى به آتش كشيده مى﻿شود سازمان مجاهدين خلق ايران via	morvaride sahra	morvaride_sahra	not-given	#iranelection	@addthis	http://bit.ly/cYt6Qd
تهران در صادقيه جوانها ترقه مي زنند ولي آتش روشن نكرده اند دور تا دور ميدان مامور است صداي ترقه مي آمد	morvaride sahra	morvaride_sahra	not-given	#iranelection		
فراخوان سازمان مجاهدين خلق ايران درآستانه روزجهانى كارگر يك هفته خيزش و اعتراض عليه ديكتاتورى آخوندى	Pouneh Mohammadi	Pouneh64	not-given	#iranelection...		http://ow.ly/d/2Ug
