देश विदेश भारतीय सुहागिनों तीज क़ी हार्दिक शुभकामना	Sudhir Karan	SudhirCcl	Ranchi, Jharkhand, India			
हरियाणा फर्राटा क्वीन बनी कौशल्या	Hissar news	hissarnews	not-given			http://ping.fm/GQSlu
फेज थ्री केस में व्यापारियों राहत	Hissar news	hissarnews	not-given			http://ping.fm/3jbUZ
इसरो नाम फ्रॉड मामले में तीनों पक्ष तल�	Hissar news	hissarnews	not-given			http://ping.fm/2fUn1
गुप्त सुरंगो निर्माण रहा चीन पीओके कश्मीर क्षेत्र	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://bit.ly/sjo5eQ
ड्रैगन खामोश नजर भारत चीन पाक नापाक इरादा लेख bhojpurikhoj com	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://t.co/ENcaRgoY
पूजा महत्वपूर्ण दिवस पूजा bhojpurikhoj com	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://t.co/o0PnUvOs
आडियो सेक्शन मेँ प्रणव चिदंबरम बीच तनातनी	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://t.co/AfMYOnDV
विपक्ष समय पहिले चुनाव थोपल चाहत लेकिन उनकर सरकार कार्यकाल पुरा करी डाक्टर मनमोहन सिँह	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			
अन्ना बहाने सही	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://t.co/0EMs9WR
खाली लोकपाल मिटी भ्रष्टाचार राहुल bhojpurikhoj news via	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal		@AddThis	http://t.co/ldjiNjL
भारत जीत खातिर फेसबुक दुआ	Bhojpurikhoj.Com	Bhojpurikhoj	Ballia,Purvanchal			http://goo.gl/fb/jkc0S
जिस्म क्या रूह कुछ ख़ुलासा देखिये अदम गोंडवी kavita kosh via	Shreesh Rakesh Jain	shreeshrakesh	Lahar ( m.p.)		@AddThis	http://t.co/2NVzSz1j
अहिंसा अपरिग्रह पुरस्कर्ता महाश्रमण वर्धमान महावीर जन्मजयन्ती हार्दिक मंगलकामनाएँ।	Shreesh Rakesh Jain	shreeshrakesh	Lahar ( m.p.)			
लोकजतन भूमंडल में भारत जनस्वास्थ्य नजरिये via	Arun Kant Shukla	aksaditya	Raipur,(CG),India		@AddThis	http://t.co/KRX0Nvs
वीडियो नये ब्लोगर डैशबोर्ड संक्षिप्त परिचय योगेंद्र पाल डायरी योगेन्द्र पालका ब्लॉग नवभारत टाइम्स via	Arun Kant Shukla	aksaditya	Raipur,(CG),India		@nbtonline	http://t.co/BzsRCla
sivil via सिविल सोसाईटी भाई हमको बताने क्या जरुरत	Arun Kant Shukla	aksaditya	Raipur,(CG),India		@nbtonline	http://t.co/vFLSQfj
सत्य साईं कमरे मिला करोड़ों सोना करंसी navbharat times via	Arun Kant Shukla	aksaditya	Raipur,(CG),India		@nbtonline	http://t.co/F1q8lk2
नोबल शांती पुरूस्कार विजेता बराक ओबामा शांती बनाने लिए गद्दाफी सेना प्रयोग धमकी	Arun Kant Shukla	aksaditya	Raipur,(CG),India			
जागरण जंक्शन में मेरा ब्लॉग दबंग आवाज पढिये	Arun Kant Shukla	aksaditya	Raipur,(CG),India			
राजनीति शास्त्र विद्यार्थियों लिये शोध नया विषय चुप रहने कला मनमोहनसिंह नरसिम्हाराव सीखी नरसिम्हाराव मनमोहनसिंह	Arun Kant Shukla	aksaditya	Raipur,(CG),India			
देश स्पीकर किराये करोड़ रुपया बकाया	Business Bhaskar	businessbhaskar	India	#Speaker,#MiraKumar,#Rent,#Businessnews		http://t.co/K2HvQsLt
गूगल करेगा आपके बिलों भुगतान	Business Bhaskar	businessbhaskar	India	#Bill,#Payment,#SearchEngine,#Businessnews	@google	http://bit.ly/lbjk0G
बाबा रामदेव कमाल अमेरिका में लहराया भारतीय परचम	Business Bhaskar	businessbhaskar	India	#Baba,#Rambdev,#America,#Ayurvedic,#Businessnews		http://bit.ly/gFBtDH
हैं दुनिया सबसे महत्वपूर्ण आविष्कार	Business Bhaskar	businessbhaskar	India	#Hotmail,#WashingMachine,#Businessnews		http://bit.ly/fP6cAN
भारत पाक मैच कंपनियों होश उड़ाए	Business Bhaskar	businessbhaskar	India	#India,#Pakistan,#Match,#Cricket,#Company,#Ad,#Businessnews		http://bit.ly/ihN8ss
दान करने लिए भारतीय रईसों दिखाया उत्साह	Business Bhaskar	businessbhaskar	India	#India,#Donation,#Wealth,#BillGate,#WarrenBuffet,#Businessnews		http://bit.ly/frKNw4
भारत में लांच गया नोकिया सबसे महंगा स्मार्टफोन	Business Bhaskar	businessbhaskar	India	#India,#SmartPhone,#Nokia,#Mobile,#Gadget,#Businessnews		http://bit.ly/hBb8GR
वर्ल्ड लिए क्वॉलिफिकेशन खबरें navbharat times via	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/GIge2N6
एडल्ट हिट navbharat times via	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/Q5AoJ6t
उर्वशी ड्राइवर करवाया अरेस्ट navbharat times via	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/YFbs39K
ऐश्वर्या साथ कौन करेगा रोमांस navbharat times via	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/y6vEY27
पब्लिक में सिगरेट पीने सलमान जुर्माना navbharat times via next baar nahi pina	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/hRXyWni
सारा दीपक बने चीफ गेस्ट navbharat times via good	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/6PlCeGg
आईपीएल सुपर किंग्स बने धोनी धुरंधर आईपीएल खबरें navbharat times via very good	niraj kumar	NIRAJCHOURASIYA	not-given		@nbtonline	http://t.co/CEOJ4VM
उम्र में साल वृद्धा दिखने लगी अजब गजब ibn khabar observe this seriously	kuldeep kumar arya	kuldeepka	islamnagar,up,india.			http://t.co/zFAVLEDm
उत्तर प्रदेश गाजीपुर जिले में गुरुवार निजी स्कूल में पानी टंकी दीवार गिरने छात्राओं दबकर मौत	महाभारत	LiveMahabharat	India			
भोपाल में महिला अपने डेढ़ माह बच्चे साथ निजी अस्पताल चौथी मंजिल कूद बच्चे मौत जबकि महिला हालत गंभीर	महाभारत	LiveMahabharat	India			
जम्मू कश्मीर में विधायकों वेतन में प्रतिशत पेंशन में फीसदी वृद्धि राज्य विधानसभा में सोमवार आशय विधेयक पारित	महाभारत	LiveMahabharat	India			
मेघालय पूर्व विधानसभा अध्यक्ष मार्टिन दांगो में सरकारी आवास खाली करने बाद वहां करोड़ों रुपये सम्पत्ति गायब पाई	महाभारत	LiveMahabharat	India			
पाकिस्तान दक्षिण पश्चिम हिस्से में रविवार खदान में विस्फोट कारण व्यक्ति मौत उसमें	महाभारत	LiveMahabharat	India			
एयर इंडिया अपनी उड्डयन सेवा सुरक्षित बताया कहा फर्जी पायलटों मुद्दे कार्रवाई रही	महाभारत	LiveMahabharat	India			
रोमिंग जर्नलिस्ट नेहरू चलते पैदा हुआ ‘शेखिस्तान’ शूल	roaming journalist	romingjournlist	not-given			http://t.co/qC5vWeQD
रोमिंग जर्नलिस्ट लादेन कंपनियों में बंधक बने हिंदुस्तानी	roaming journalist	romingjournlist	not-given			http://t.co/iHbqqJRa
रोमिंग जर्नलिस्ट नेहरू चलते पैदा हुआ ‘शेखिस्तान’ शूल	roaming journalist	romingjournlist	not-given			http://t.co/qC5vWeQD
कामनवेल्थ गेम अरबो रुपए घोटाला करने वाली कांग्रेस सरकार एशिया में सिर ऊंचा करने वाली हाकी टीम देने लिए पैसे बचे नहीं है।	roaming journalist	romingjournlist	not-given			
राहुल गांधी अपनी कार शीशा नीचे किया भिखारी पूछा तुम कहां भिखारी यूपी राहुल यूपी में कहां भिखारी अमेठी	shree vikash	shreevikash	Mumbai			
शुभ दीपावली	PRABHAT SEELA	prabhatseela	SANGARIA, INDIA		@yuvsingh09	
dhoni अभी सीरिज बराबरी मौका जैसे कोई नेता चुनावी वादा रहा क़ी कभी पूरा नहीं होता	Sanjay Kedia 	Sanjay111974	 surat 	#SCG,#Indvsaus,#Perth		
साल पहले दिन तिरुपति मंदिरमें crore चढ़ावा आया सिर्फ शराब शबाब नहीं ईश्वर झुक नया साल मनाया सकता	Sanjay Kedia 	Sanjay111974	 surat 			
जिसने कमजोर लोकपाल बिल बनाया पेश किया पास किया कुछ लोग कहते हैं उन्हीं खिलाफ क्यों	Sanjay Kedia 	Sanjay111974	 surat 		@janlokpal	
swami vivekanand उठो जागो शक्तिशाली बनो क्योंकि बलि हमेशा बकरे जाती शेर नहीं	Sanjay Kedia 	Sanjay111974	 surat 			
आपकी सफलता काफी बात निर्भर करती दूसरों साथ कैसा बर्ताव करते हैं	PARDEEP SOOD	PARDEEPSOOD	not-given			
करीना कपूर बनी एशिया सबसे सेक्सी महिला kareena kapoor became asian sexiest women	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
केजरीवाल बकाई रकम चेक अदा किया	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
रफ्तार रोमांच में चली तीन दोस्तों जान the thrill speed left the lives three fri	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
तरह अपनी कार माइलेज बढ़ाइए	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
‘बिग बॉस’ ‘घर’ बेदखली भड़कीं निहिता बिश्‍वास कहा मेरे साथ धोखा हुआ	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
अचानक गोपालगढ़ पहुंचे राहुल महकमें में मची हलचल	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
संघ हमारे नेतृत्व हिस्सा नहीं हजारे पक्ष	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
पुलिस कारस्तानी जान जाएंगे	rajkishoregupta	rajkishorekiran	shahjahanpur near lucknow u.p			
क्या आडवाणी गोलडन टैम्पल गुरु ग्रंथ साहिब सामने नोट फैंक माथा टेकने कारण बतलाएँगे	Gurmeet Singh Gmbhir	gambhir2011	new delhi			
rahul gandhi जिसके पैर तली फटी जनता दुख कया समझेगा	Gurmeet Singh Gmbhir	gambhir2011	new delhi		@	
जागो जागो जागो जागो सुबह चाय ठंडी विश्वकर्मा सुबह सुबह नहा पाठ पूजा अपने अपने कंप्यूटर खोल अलग कीजिए	Gurmeet Singh Gmbhir	gambhir2011	new delhi			
इतनी महँगाइ क्या पेट्रोल बोझ डाल दिया सही कहावत कांग्रेस हाथ आदमी साथ नही आदमी जेब में	manishsharma	sharmamanish848	jaipur			
क्या अभी राहुल गाँधी कहेगे छोटे मोटे धमाके होते रहेगे आदमी मरते रहेगे इन्हें कोई रोक नही सकता	manishsharma	sharmamanish848	jaipur			
गणेश चतुर्थी पर्व हार्दिक शुभकामनायेँ	manishsharma	sharmamanish848	jaipur			
सभी महोदयो निवेदन श्री अन्ना हजारे साथ पवित्र कार्य सहयोग करे अपना जीवन सफल बनाये धन्यवाद हिन्द	manishsharma	sharmamanish848	jaipur			
रामलीला में चटपटी चाट टेस्ट रिपोर्ट कहां टिक्की सबसे टेस्टी	NBT Dussehra Darpan	NBTDarpan	not-given	#Ramlila,#Delhi		http://t.co/HQz4h1SG
विदेशी धरती रास नही आती	BitterTruth	NonPolitician	not-given		@Sanjay111974	
तारों पार परी कहानी सुनी सुनी लगती लेकिन परी नही इंतजार उम्र दहलीज पार चुके हैं	BitterTruth	NonPolitician	not-given			
जवान किसान विज्ञान जवान रहे नही किसान आत्महत्या रहें हैं विज्ञान घोटालों शिकार गया	BitterTruth	NonPolitician	not-given			
जिंदा नेता करोड़ मुर्दा नेता मोड़ बूत हारा नेता भाग दौड़ जिता नेता गठजोड़ बिफरा नेता जोड़ तोड़ चुनावी नेता रोड़	BitterTruth	NonPolitician	not-given			
हिन्दी फिल्मों भारतीय राजनीति कोई फ़र्क नही कुछ ड्रामा होता रोना पीटना नायक खलनायक अंत हज़ार करोड़ कमाई	BitterTruth	NonPolitician	not-given			
रात हुई याद सुबह हुई याद शाम हुई याद दोपहर हुई याद तेरी बेवफ़ाई हरदम याद	BitterTruth	NonPolitician	not-given			
कॉंग्रेस बल्ले बल्ले अन्ना तबीयत खराब बदनाम मेरा नही रहा ट्विट लिखूं क्यों आहत हूँ भारतीय राजनीति	BitterTruth	NonPolitician	not-given			
नोट वोट चोट सोट कोट खोट गोट अंत होट चीज़ों दूर रहना चाहिए क्या पता कहाँ जख्म जाएँ	BitterTruth	NonPolitician	not-given		@angrykopite,@Namrata_Joshi	
भ्रस्टाचारी सरकार गिराना कड़क लोकपाल दिशा पहला कदम होगा	Krantikaari	krantikaari4	Bharat			http://t.co/df09jLAw
कांग्रेस टीम अन्ना तोड़ने तोड़ मेहनत खेल हैं	Krantikaari	krantikaari4	Bharat			http://t.co/lFOq8lhY
हटाओ चीन ताकतवर लेकिन कमजोर नहीँ इसलिए चीन हमे हल्के मेँ लेँ।	dilip kumar singh	DilipSi	not-given			
चीन बताओ अपनी औकात रहे मनमोहन यहा कुछ देशहित करो कमजोर बनो।नहीहैँ बताओ	dilip kumar singh	DilipSi	not-given			
बाबा अपनी कृपा हमारे एबम हमारे परिबार बनाये रखे	alokkumarsinghania	alokkumarsingha	 Begusarai Bihar		@Nirmalbabaji	
पहले कांग्रेस कहते टीम अन्ना संसद अपमान रही हें संसद दुवारा पास तीन बिंदुओं हटाकर कांग्रेससंसद अपमान रही हैं	alokkumarsinghania	alokkumarsingha	 Begusarai Bihar			
प्रशात भूषण इतने बङे बकील होकर क्या क्या बोल जाते हैं कश्मीर भारत अभिग़ अंग हैं रहेगा चाहे क्रप्या सोच बोले	alokkumarsinghania	alokkumarsingha	 Begusarai Bihar			
दलीलों आधार सरकार टाला	IBN7 Live hindi news	IBN7	India			http://t.co/z8Q6PCMu
देखें इडियट्स रिमेक फिल्म ननबन	IBN7 Live hindi news	IBN7	India			http://t.co/8VNFfO4q
मुंबई महिला दोस्त लिए फायरिंग	IBN7 Live hindi news	IBN7	India			http://t.co/91w3OiDl
एमसीडी अस्पतालों में बांटी	IBN7 Live hindi news	IBN7	India			http://t.co/sXskkEg7
क्या कैसे पास पाएगा लोकपाल	IBN7 Live hindi news	IBN7	India			http://t.co/WouyAa2O
देखें साल में खबरों में छाए रहे	IBN7 Live hindi news	IBN7	India			http://t.co/lj7nQmyB
बांदा रेप केसः mla सीबीआई चार	IBN7 Live hindi news	IBN7	India			http://t.co/rfe3UvdF
पढ़ें हैं सरकारी लोकपाल मुख्य	IBN7 Live hindi news	IBN7	India			http://t.co/9f1unYag
पटरी मरी मालगाडी लदा करोड रुपए तेल अमर बबा तंदुरूस्त छूटा अस्पताल पहुंच फ़िर जेल	Dr Anil Pandey	drpandeyanil	allahabad india			
फ़ैला शोलों सैलाब तरह आदमी चुभे सियासत तेज़ाब तरह	Dr Anil Pandey	drpandeyanil	allahabad india			
सूर्य धनु राशि मकर राशि में प्रवेश होने sankranti कहा जाता है।शाम बजे सूर्य मकर राशि मेंशनिवार सुबह रहेगा।	Dr Anil Pandey	drpandeyanil	allahabad india			
एलीफेंटा गुफाएं	aruna kudesia	aruna04	not-given			http://t.co/WaXgLr1X
युद्ध कुछ दुर्लभ तस्वीरें	aruna kudesia	aruna04	not-given			http://t.co/3J3VXSA0
sach इरविन गांधी समझौता भगतसिँह फाँसी भाग	aruna kudesia	aruna04	not-given			http://t.co/baggFMY
दीवारों मेरी राह में आने शुक्रिया	Naveen Agrawal	hanumanyatra	nagpur			http://t.co/NJmV8wqQ
आपको अपनी मोहब्बत नही रास आती नफरत आंखों लगा लेते हैं	Naveen Agrawal	hanumanyatra	nagpur			
गणेश चतुर्थी बधाई एवं शुभकामनाये	Naveen Agrawal	hanumanyatra	nagpur			
naveen agrawal क्या जनलोकपाल बिल मंजूर जाने भ्रष्टाचार ख़तम	Naveen Agrawal	hanumanyatra	nagpur			http://t.co/9NIrZGw
उम्मीद रॉन वॉट्स दम्पति भारत रत्न मिलकर रहेगा… ron watts conversion adventist church	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/6fKQe
ट्रेजरी मुद्दे मीडिया दोगलापन नीतीश चुस्त कार्यप्रणाली… bihar assembly lalu yadav and	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/6fKP7
ग़ालिब प्रोफ़ेसरी इनकार	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/5kn9c
मिर्ज़ा ग़ालिब चन्द शेर	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/5kn9j
आये में हमारे ख़ुदा क़ुदरत	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/5knCf
ग़ालिब तृप्ति नहीं तृष्णा कवि	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/5knCR
ग़ालिब कहा quot मुसलमान हूँ आधा quot	HindiBlogging	HindiBlogging	not-given	#Hindi		http://url4.eu/5knA5
मनमोहन अच्छे इंसान समस्या रिमोट कंट्रोल हजारे navbharat times via	krishan mohan joshi	km10joshi	India, Uttarakhand		@nbtonline	http://t.co/olTXfDh
मनमोहन अच्छे इंसान समस्या रिमोट कंट्रोल हजारे navbharat times via	krishan mohan joshi	km10joshi	India, Uttarakhand		@nbtonline	http://t.co/olTXfDh
नाटक नहीं वीना गुमशुदगी actress veena malik missing from the last	Rakesh Chandra Jha	b9431491033	not-given			http://t.co/3ihByyCz,http://t.co/ZeXR7uGG
बेतिया दुर्गाबाग मंदिर rajender babu jnmdin par wicharniy windu	Rakesh Chandra Jha	b9431491033	not-given			http://t.co/Qv6K06FF
आतंक प्रयाय बने ओसामा मृत्यु बाद isiसमेत तमाम पाकिस्तानी सेना हालत धोबी कुत्ते जैसी होगई	Rakesh Chandra Jha	b9431491033	not-given			
सावधान बेद बिमुख हिन्दु	Rakesh Chandra Jha	b9431491033	not-given			http://t.co/BbnK26T
शिघ्र अवश्यकता सामवेद सश्वर पाठक कृप्या अविलम्ब सम्पर्क करे। ब्यस्था दक्षिणा यात्रा भत्ता	Rakesh Chandra Jha	b9431491033	not-given			
महानगर में रुपये में गुजारा करने वाला गरीब नहीं	Shivam kumar	Shivam_98	Bihar			http://t.co/N5rGSyrx
नायाब फफूंद नियंत्रण में सकेंगी चींटियां	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/8516556
हृदय बीमारियों लिए रामबाण प्याज	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/8527541
दूध तरसेंगे मीट खाएंगे विदेशी	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/8486764
शनि तूफान चपेट में बना विशाल धब्बा	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7586852
नये साल स्वास्थ्य संकल्प	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7596249
दिल लिए फायदेमंद टमाटर	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7596248
आधे घंटे सैर हृदय रोग बचाव	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7539961
मोटापे दूर रहें	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7539965
युवाओं खूब रहा विंडोज मोबाइल फोन	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7433175
खाने बातें	Shivam kumar	Shivam_98	Bihar			http://newshunt.com/share/7492004
हिन्दी ब्लौगिंग समृद्ध कीजिये	DINESH PAREEK	dineshsgccpl	not-given			http://t.co/jIJo8oX7
लोगों निर्गुण निराकार शब्दों हाउ बना डाला दिनेस पारीक	DINESH PAREEK	dineshsgccpl	not-given			http://networkedblogs.com/dRof3
सेंसेक्स वर्ष न्यूनतम स्तर नीचे पहुंचा	maneesh kumar	maneeshkumar198	LUCKNOW			
देखिये अरविन्द केजरीवाल ibn में तीखी बात	vivek gupta	30guptavivek	indore			
देश सांसदों आवाज जूते थप्पड़ खायेंगे भ्रष्टाचार बाज आयेगे	vivek gupta	30guptavivek	indore		@ravishndtv	
शुभ रात्रि अगर मैने देश हित सोचा कॉलेज वाले अहित देंगे हिंद	vivek gupta	30guptavivek	indore		@ravishndtv	
देहली में नही इंदौर में जरुर देखेंगे बहुत खुशी हुयी आपने बता दिया आपका रोज देखना चाहता	vivek gupta	30guptavivek	indore		@ravishndtv	
वाह वाह क्या बात	vivek gupta	30guptavivek	indore		@ravishndtv	
भारत माँ बेटे फिर क्यों बैठे	vivek gupta	30guptavivek	indore		@thekiranbedi	
इसे काला बोलिए चोरी इसे चोर कहिये मुलायम सिंह यादव	Hardik Pandya	pandyahardik4	Jaipur			
व्यथित हजारे पीएम लिखा आंदोलन अपमान करें anna hajare khaskhabar via	Shailesh Mishra	56Mishra	not-given		@AddThis	http://t.co/delixVw
इंडोनेशिया में तीव्रता	Shailesh Mishra	56Mishra	not-given			http://thatshindi.oneindia.in/news/2011/04/04/indonesia-rocked-earthquake-tsunami-alert-lifted-aid0073.html
रतन टाटा नहीं चाहते हैं सार्वजनिक राडिया टेप proceding radia tape case april daily	Shailesh Mishra	56Mishra	not-given			http://bit.ly/hVFG65
बिहार तरक्की देख भौंचक्के बिल गेट्स bill gates commented developement bihar	Shailesh Mishra	56Mishra	not-given			http://bit.ly/fPGDuF
पहली बैठक में सिविल सोसायटी बैकफुट नैशनल भारत navbharat times via	dharmendra prajapati	dkpp	Delhi/Noida		@nbtonline	http://t.co/0iyERk9
साल में मनमोहन मंत्री संपत्ति में औसतन करोड़ इजाफा upa ministers wealthy	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			
रिज़र्व बैंक ब्याज़ बढ़ाई	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			http://t.co/TJ1zLBcY
कौन बनेगा पीएम navbharat times	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			http://t.co/IA2RV8p9
सबसे अच्छा रिटर्न किस फंड में मिल सकता infrastructure fund the next three five years can give good returns	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			
कठिन नहीं गंभीर सिविल सर्विस परीक्षा not hard serious civil service examinations	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			
देखें सीजे मेहता उजागर पोस्टऑफिस धोखाधड़ी videos सिटिज़न जर्नलिस्ट citizen journalist ibnkhabar	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			
मायावती सबसे करीबी नेता अमेरिका सामने खोली पोल बताया भ्रष्‍ट wikileaks exposes mishra termed mayawati corrupt	JASDEEP SINDHU	RADHASOAMIYOGA	INDIA			
दिग्विजय आरएसएस संबंध	eKhabar online news 	ekhabar	Bhopal			http://t.co/7Zu4qnFQ
nrhm घोटाला मामले में cbi कसा शिकंजा	eKhabar online news 	ekhabar	Bhopal			http://t.co/RI0lC6xB
सुप्रीम कोर्ट आदेश आत्मसमर्पण करें सुखराम	eKhabar online news 	ekhabar	Bhopal			http://t.co/9vQtyqQq
कुशवाहा बीजेपी फिर लिया टर्न	eKhabar online news 	ekhabar	Bhopal			http://t.co/gI1qJOKa
‘घोटालेबाजों कवच नहीं भाजपा’	eKhabar online news 	ekhabar	Bhopal			http://t.co/5DPdzZI0
वैज्ञानिक अनुसंधानों खर्च में बढ़ोत्तरी करेगा भारत प्रधानमंत्री	eKhabar online news 	ekhabar	Bhopal			http://t.co/v3BEC1Mq
बालाजी करोड़ चढ़ावा	eKhabar online news 	ekhabar	Bhopal			http://t.co/IAiYWlS6
राज्यसभा में बिना तैयारी सरकारः बेदी	eKhabar online news 	ekhabar	Bhopal			http://t.co/79Hh5Ml1
हीरो होंडा हुई हीरो मोटोकॉर्प लिमिटेड hero honda now hero motocorp limited khaskhabar	rajendrakanathe	ramdarbar	betul m.p.			
मुंबई बारः बार बार देह व्यापार स्‍टाइल	rajendrakanathe	ramdarbar	betul m.p.			http://bit.ly/eYsfNp
मर्दों में इश्क जगाने सुपरहिट नुस्खे जोश जवानी परिवार navbharat times via	rajendrakanathe	ramdarbar	betul m.p.		@nbtonline	http://t.co/kLyR9Wg
परम प्रभु प्रार्थना उनको परम विश्रांति शुभकामना स्वामी कमलेश्वरानंद	BRAHMAYOG	BRAHMAYOGG	INDIA			
मुझे अपने ह्रदय में स्थापित रखना पुरुषार्थ करने में जुट जाना चिंता करना सिर्फ पौधा लगाना उसकी देख भाल करना	BRAHMAYOG	BRAHMAYOGG	INDIA			
करता रहा हूँ समय विशेष में बुद्ध महावीर रूप में राम कृष्ण रूप में ऐसे नाना रूपों में बार बार शिष्य गुरु	BRAHMAYOG	BRAHMAYOGG	INDIA			
फिर बाद में ४०० सालों दीक्षा गुरु गम्य रही कोई गुरु अपने शिष्य नहीं सका क्योंकि इसकी क्रिया विधि अत्यंत कठिन	BRAHMAYOG	BRAHMAYOGG	INDIA			
भक्त इन्हें पूर्ण मनोभाव पूजता अति शीघ्र पूर्ण जाता वैसे सभी देवों यदि भाव दिया जाये पूर्णता	BRAHMAYOG	BRAHMAYOGG	INDIA			
संबोधित करते हुए कहा दीन दुखियों दुःख हरने वाला सुख संपत्ति धन्य परिपूर्ण मानस समृद्धशाली बनाने वाले	BRAHMAYOG	BRAHMAYOGG	INDIA			
प्रणाम प्रभु बार बार प्रणाम क्या आदेश उत्तर प्रिय कमल मैंने कहा तुम कन्या नम्रता माध्यम बना	BRAHMAYOG	BRAHMAYOGG	INDIA			
इजहार किये जाओ बरना दुनिया खूवसूरत नहीं लगेगी	atalpratapsingh	atalpratapsingh	bhopal,m.p., INDIA		@2233;-)प्यार	
बोर्ड रवि शास्त्री गावस्कर नया कांट्रेक्ट दिया भारत मैं क्रिकेट लिए दोनों टेलीविजन कमेंटेटर होंगे	atalpratapsingh	atalpratapsingh	bhopal,m.p., INDIA			
बहुत ज्यादा धन्यवाद	atalpratapsingh	atalpratapsingh	bhopal,m.p., INDIA		@SrBachchan	
गर्भनिरोधक गोलियां आपके पति सकती हैं मौत	Bijay Das	bijaydas	Guwahati			http://t.co/7eAI6Opv
मलेरिया टीके उम्मीदें बढ़ाई	Bijay Das	bijaydas	Guwahati			http://t.co/PRiHQu1a
आतंकी हमले बाद भूकंप दिल्ली एनसीआर में दहशत navbharat times via	omveer singh	om_maurya	Delhi,moradabad 		@nbtonline	http://t.co/z47Xs2k
मुंबई धमाकों में घरेलू आतंकवादियों हाथ navbharat times via	omveer singh	om_maurya	Delhi,moradabad 		@nbtonline	http://t.co/W2qQzS3
रेड्डी गार्ड रहा सीबीआई अफसर फिल्‍मी अंदाज में कसा शिकंजा	suresh bhati	sureshhbbhati	HUBLI			http://t.co/NVIP43a0
संसद सड़क आक्रोश बच्‍चे रहे लंच बहिष्‍कार यूपी में हाईकोर्ट काम	raman kumar	kramank	una, hiamchal			http://t.co/w3xrHGL
भ्रस्टाचार त्रस्त उत्तर प्रदेश नेता	कुँ.शैलेन्द्र प्रताप	shailender000	Tundla			
शुभरात्रि शुभरात्रि शुभरात्रि शुभरात्रि	कुँ.शैलेन्द्र प्रताप	shailender000	Tundla			
समाजवादी पार्टी तरफ सभी भाईओं बहुत बहुत मुबारकबाद अल्लाह सभी बरकत	कुँ.शैलेन्द्र प्रताप	shailender000	Tundla			
मायावती सरकार भ्रष्‍ट कहने वाले आईपीएस पुलिस कहा पागल घसीट अस्‍पताल dig calls maya govt corrupt dumped hospital	कुँ.शैलेन्द्र प्रताप	shailender000	Tundla			
मणिपुर में साल अनशन बैठी इरोम शर्मिला समर्थन में दिल्ली में रैली इजाज़त मिलने कार्यकर्ताओं नारज़गी ज़ाहिर	digant sahil	itsme_digant	not-given			
